date,loblaw_price,loblaw_volume,metro_price,metro_volume,empa_price,empa_volume,gwl_price,gwl_volume,atd_price,atd_volume,tsx_price,tsx_volume,sp500_price,sp500_volume,BCPI,CPI,bank_interest,CEER,trend_grocery_store,trend_loblaws,trend_stock
2000-01-12,18.7409,231500.0,1.2448,739800.0,2.1042,111420.0,34.4285,27900.0,0.2751,192624.0,8360.0,85409000.0,1432.25,974600000.0,284.8,,6.5,101.8,,,
2000-01-13,18.9412,466800.0,1.2055,444600.0,2.0968,494928.0,33.3831,50800.0,0.2757,24000.0,8417.9004,91300500.0,1449.6801,1030400000.0,,,,102.15,,,
2000-01-14,18.0542,447400.0,1.1804,546000.0,2.1152,403470.0,32.1286,105200.0,0.273,99024.0,8357.5,1674400.0,1465.15,1085900000.0,,,,102.26,,,
2000-01-17,18.4834,99800.0,1.1518,523800.0,2.0968,48900.0,32.5468,39200.0,0.2717,202608.0,8479.2998,1141700.0,,,,,,102.11,,,
2000-01-18,18.7409,164900.0,1.1912,759000.0,2.1005,31512.0,32.4074,90500.0,0.2717,294240.0,8589.7002,89196200.0,1455.14,1056700000.0,,,,102.17,,,
2000-01-19,18.7695,189200.0,1.1983,427800.0,2.0637,348990.0,33.4528,104700.0,0.2717,63408.0,8635.0996,86112400.0,1455.9,1087800000.0,295.11,,6.5,102.01,,,
2000-01-20,18.4548,284500.0,1.1411,562800.0,2.0048,233154.0,32.5119,76800.0,0.2819,470640.0,8682.9004,86720300.0,1445.5699,1100700000.0,,,,102.23,,,
2000-01-21,18.2831,241800.0,1.1053,900600.0,1.9497,83430.0,32.3377,40200.0,0.2825,702576.0,8634.9004,89580000.0,1441.36,1209800000.0,,,,102.87,,,
2000-01-24,17.3389,908900.0,1.1017,716400.0,1.9497,95622.0,31.362,102100.0,0.2873,101472.0,8458.7998,91735200.0,1401.53,1115800000.0,,,,102.99,,,
2000-01-25,17.4247,458900.0,1.1268,1071600.0,1.9497,83220.0,32.5816,107000.0,0.2886,255504.0,8505.5,88278800.0,1410.03,1073700000.0,,,,103.12,,,
2000-01-26,17.5964,136200.0,1.1125,1264200.0,1.9497,84666.0,32.3377,56400.0,0.2859,102912.0,8582.5996,82693600.0,1404.09,1117300000.0,302.82,,6.5,103.26,,,
2000-01-27,18.4262,487600.0,1.1375,1480200.0,1.9497,246306.0,33.626999999999995,141500.0,0.2873,591024.0,8645.7998,15754600.0,1398.5601,1129500000.0,,,,103.59,,,
2000-01-28,18.3403,74100.0,1.2198,4270800.0,2.06,108582.0,32.9301,42700.0,0.2886,849792.0,8390.4004,94340200.0,1360.16,1095800000.0,,,,103.03,,,
2000-01-31,18.512,174100.0,1.2162,1495200.0,2.06,81066.0,33.5225,108000.0,0.2886,96000.0,8481.0996,4751700.0,1394.46,993800000.0,,,,102.9,,,
2000-02-01,18.8839,212400.0,1.2698,1002000.0,2.0232,33852.0,34.8467,44300.0,0.2886,170784.0,8535.2998,79829500.0,1409.28,981000000.0,,94.1,,103.16,,,
2000-02-02,18.4834,1337900.0,1.2627,918000.0,2.0232,333030.0,34.6724,33800.0,0.2886,115920.0,8769.5,21086000.0,1409.12,1038600000.0,305.83,,6.5,103.52,,,
2000-02-03,18.5978,223700.0,1.2842,1785600.0,2.06,91746.0,33.4528,134100.0,0.292,132864.0,8894.4004,99696900.0,1424.97,1146500000.0,,,,103.4,,,
2000-02-04,18.7123,657900.0,1.3906,2127600.0,2.3175,236250.0,32.5816,218600.0,0.29,1977120.0,9209.2002,95752000.0,1424.37,1045100000.0,,,,103.17,,,
2000-02-07,19.1128,496600.0,1.3319,1617000.0,2.3175,924390.0,32.7559,268000.0,0.2948,849648.0,9156.0,8368700.0,1424.24,918100000.0,,,,103.27,,,
2000-02-08,19.027,1008500.0,1.3245,946800.0,2.3102,4779492.0,31.9195,481500.0,0.2948,557616.0,9300.7998,132600.0,1441.72,1047700000.0,,,,103.03,,,
2000-02-09,18.9698,213700.0,1.2988,817200.0,2.2991,137436.0,32.8952,245900.0,0.2934,585552.0,9255.2002,1613200.0,1411.71,1050500000.0,306.74,,6.75,103.14,,,
2000-02-10,18.9412,142100.0,1.3025,872400.0,2.3139,108222.0,33.2785,87400.0,0.2907,1286640.0,9321.0,88179400.0,1416.83,1058800000.0,,,,102.81,,,
2000-02-11,19.0556,177800.0,1.3098,1672800.0,2.3028,96978.0,33.1043,73800.0,0.292,3424800.0,9156.7002,97687500.0,1387.12,1025700000.0,,,,102.77,,,
2000-02-14,19.3131,737100.0,1.3208,1617000.0,2.3028,692238.0,32.7907,165000.0,0.2886,138960.0,9314.5,83054400.0,1389.9399,927300000.0,,,,102.6,,,
2000-02-15,19.4848,1043700.0,1.3062,959400.0,2.3065,140190.0,32.6513,565300.0,0.28800000000000003,36192.0,9356.0996,207400.0,1402.05,1092100000.0,,,,102.29,,,
2000-02-16,20.1715,198200.0,1.3062,482400.0,2.3175,151200.0,33.4528,58400.0,0.2866,277584.0,9428.5996,15764500.0,1387.67,1018800000.0,309.93,,6.75,102.76,,,
2000-02-17,20.1715,171700.0,1.3135,1620600.0,2.347,144990.0,36.1708,277900.0,0.29,1828032.0,9463.5,18981100.0,1388.26,1034800000.0,,,,102.79,,,
2000-02-18,20.1429,616600.0,1.3759,2089800.0,2.3543,504942.0,36.9374,201700.0,0.292,102960.0,9295.5,93342900.0,1346.09,1042300000.0,,,,102.95,,,
2000-02-21,20.5435,153500.0,1.3869,1424400.0,2.347,121890.0,37.4601,29400.0,0.2954,189840.0,9231.2002,1969100.0,,,,,,102.82,,,
2000-02-22,20.3145,531400.0,1.4016,2961600.0,2.3617,1357104.0,36.589,193100.0,0.2886,153888.0,9194.9004,92223500.0,1352.17,980000000.0,,,,102.18,,,
2000-02-23,20.3145,418700.0,1.3942,945600.0,2.3727,134970.0,36.1011,104400.0,0.2853,70608.0,9315.0,506100.0,1360.6899,993700000.0,307.32,,6.75,101.87,,,
2000-02-24,20.1715,201400.0,1.3575,705600.0,2.3543,1567704.0,36.2405,51100.0,0.292,81120.0,9214.2002,11748100.0,1353.4301,1215000000.0,,,,102.42,,,
2000-02-25,20.3432,232000.0,1.3539,778200.0,2.3543,3264510.0,35.683,98100.0,0.2853,165120.0,9141.2002,15763600.0,1333.36,1065200000.0,,,,103.14,,,
2000-02-28,20.3718,157100.0,1.3612,843000.0,2.3727,181380.0,35.2648,38600.0,0.2853,0.0,9223.4004,81020900.0,1348.05,1026500000.0,,,,102.85,,,
2000-02-29,19.5993,292500.0,1.3465,410400.0,2.4132,176820.0,35.8572,137300.0,0.2853,30720.0,9129.0,250100.0,1366.42,1204300000.0,,,,103.33,,,
2000-03-01,19.2559,351400.0,1.3282,616800.0,2.4279,482100.0,35.1951,123900.0,0.292,288192.0,9411.5996,11565000.0,1379.1899,1274100000.0,307.79,94.8,6.75,103.12,,,
2000-03-02,19.3131,259900.0,1.3135,1032600.0,2.4352,91536.0,36.2057,45400.0,0.2975,1099632.0,9516.0996,24775200.0,1381.76,1198600000.0,,,,102.77,,,
2000-03-03,19.2845,188800.0,1.3172,236400.0,2.3653,468180.0,35.6133,127800.0,0.2975,425760.0,9462.9004,4265100.0,1409.17,1150300000.0,,,,102.98,,,
2000-03-06,19.7423,614900.0,1.2768,611400.0,2.3543,319740.0,35.439,188700.0,0.2785,1276608.0,9580.9004,20861000.0,1391.28,1029000000.0,,,,102.73,,,
2000-03-07,19.3704,197600.0,1.2768,267000.0,2.3911,205842.0,34.8467,44900.0,0.2785,200544.0,9425.5,78100000.0,1355.62,1314100000.0,,,,102.77,,,
2000-03-08,18.3403,309300.0,1.2511,483600.0,2.3617,486090.0,33.1043,28400.0,0.2615,292368.0,9281.0996,6219800.0,1366.7,1203000000.0,316.13,,6.75,102.35,,,
2000-03-09,19.3417,349800.0,1.2255,766200.0,2.3911,128082.0,33.4528,299600.0,0.2954,384432.0,9413.7002,94323500.0,1401.6899,1123000000.0,,,,102.31,,,
2000-03-10,19.1415,135200.0,1.2291,516000.0,2.3911,126030.0,34.1497,82200.0,0.2954,140592.0,9487.0996,80959900.0,1395.0699,1138800000.0,,,,102.31,,,
2000-03-13,19.7293,143800.0,1.2585,706800.0,2.4279,402012.0,34.1147,66200.0,0.292,41760.0,9461.5996,67158700.0,1383.62,1016100000.0,,,,102.01,,,
2000-03-14,19.3565,188700.0,1.2585,742200.0,2.45,30390.0,34.0099,40200.0,0.2717,695424.0,9393.7998,41439400.0,1359.15,1094000000.0,,,,101.85,,,
2000-03-15,18.783,75200.0,1.2401,752400.0,2.3911,414864.0,33.3458,21300.0,0.2819,6296640.0,9293.5996,11607300.0,1392.14,1302800000.0,314.21,,6.75,101.53,,,
2000-03-16,19.4426,133100.0,1.3392,1704600.0,2.3911,100626.0,35.6527,46100.0,0.2751,197376.0,9488.0,45561500.0,1458.47,1482300000.0,,,,101.2,,,
2000-03-17,18.783,478000.0,1.3869,2053800.0,2.3837,76116.0,32.8564,30500.0,0.2717,347904.0,9528.7998,16668200.0,1464.47,1295100000.0,,,,101.19,,,
