ticker,exchange,name,market_value,sector,date_of_listing
EDV,TSX,Endeavour Mining Corporation,2852550039,Mining,2003-11-20
ERF,TSX,Enerplus Corporation,2010763468,Oil & Gas,1987-03-11
ENGH,TSX,Enghouse Systems Limited,2086011005,Technology,1998-02-26
ESI,TSX,Ensign Energy Services Inc.,472347105,Industrial Products & Services,1993-06-25
ETX,TSX,Etrion Corporation,88599048,Clean Technology,2003-10-02
XTC,TSX,Exco Technologies Limited,309658417,Industrial Products & Services,1986-10-20
EXF,TSX,EXFO Inc.,115198476,Technology,2000-07-05
EXE,TSX,Extendicare Inc.,871884452,Real Estate,1974-04-08
FFH,TSX,Fairfax Financial Holdings Limited,17219307782,Financial Services,1972-09-14
FRX,TSX,Fennec Pharmaceuticals Inc.,113406231,Life Sciences,2001-06-04
FSZ,TSX,Fiera Capital Corporation,996959937,Financial Services,1986-08-11
FTN,TSX,Financial 15 Split Corp.,697714044,Closed-End Funds,2003-11-13
FTT,TSX,Finning International Inc.,3769201216,Industrial Products & Services,1969-10-23
FTG,TSX,Firan Technology Group Corporation,79052379,Technology,1983-08-12
FC,TSX,Firm Capital Mortgage Investment Corporation,555262863,Financial Services,1999-10-06
FCR,TSX,First Capital Realty Inc.,5121321637,Real Estate,1994-03-28
FM,TSX,First Quantum Minerals Ltd.,5625458851,Mining,2000-01-11
FTS,TSX,Fortis Inc.,25078607233,Utilities & Pipelines,1969-11-19
FT,TSX,Fortune Minerals Limited,29520774,Mining,1997-10-31
FVL,TSX,Freegold Ventures Limited,15116312,Mining,1998-05-19
FRU,TSX,Freehold Royalties Ltd.,858818086,Oil & Gas,1996-11-25
GDC,TSX,Genesis Land Development Corp.,95327525,Real Estate,2000-08-08
WN,TSX,George Weston Limited,17411136615,Consumer Products & Services,1929-04-19
GIL,TSX,Gildan Activewear Inc.,9941781678,Consumer Products & Services,1998-06-24
GVC,TSX,Glacier Media Inc.,90263715,Comm & Media,1981-04-06
GMX,TSX,Globex Mining Enterprises Inc.,20947023,Mining,1995-12-27
GMP,TSX,GMP Capital Inc.,262063467,Financial Services,2003-12-08
GSY,TSX,goeasy Ltd.,830248796,Financial Services,1995-05-03
GSC,TSX,Golden Star Resources Ltd.,443088735,Mining,1987-07-27
GDL,TSX,Goodfellow Inc.,38449624,Industrial Products & Services,1999-12-06
GRT,TSX,Granite Real Estate Investment Trust,3150020092,Real Estate,2003-08-20
GWO,TSX,Great-West Lifeco Inc.,28751518930,Financial Services,1986-06-26
GCG,TSX,Guardian Capital Group Limited,690715429,Financial Services,1969-05-22
HR,TSX,H&R Real Estate Investment Trust,6473332636,Real Estate,1996-12-18
HMM,TSX,Hammond Manufacturing Company Limited,16855320,Industrial Products & Services,1986-06-10
HPS,TSX,Hammond Power Solutions Inc.,73764125,Industrial Products & Services,2001-01-10
HBP,TSX,Helix BioPharma Corp.,99960801,Life Sciences,1996-06-03
HRX,TSX,Heroux-Devtek Inc.,636338675,Industrial Products & Services,1999-12-06
HLF,TSX,High Liner Foods Incorporated,385579206,Consumer Products & Services,1971-01-15
HCG,TSX,Home Capital Group Inc.,1499562138,Financial Services,1982-01-07
HSE,TSX,Husky Energy Inc.,9481368658,Oil & Gas,2000-08-28
HYG,TSX,Hydrogenics Corporation,379709878,Clean Technology,2000-10-31
IAG,TSX,iA Financial Corporation,6292200182,Financial Services,2000-02-10
IMG,TSX,IAMGold Corporation,2325875107,Mining,1996-03-08
IGM,TSX,IGM Financial Inc.,8568028782,Financial Services,1986-11-12
III,TSX,Imperial Metals Corporation,326365042,Mining,1984-12-27
IMO,TSX,Imperial Oil Limited,24807717025,Oil & Gas,1921-11-25
INC,TSX,Income Financial Trust,21724613,Closed-End Funds,1999-02-04
IDG,TSX,Indigo Books & Music Inc.,180008143,Consumer Products & Services,1996-12-04
INQ,TSX,INSCAPE Corporation,12690043,Industrial Products & Services,1997-12-09
IPCI,TSX,IntelliPharmaCeutics International Inc.,5963181,Life Sciences,1999-07-22
IPL,TSX,Inter Pipeline Ltd.,10049750631,Utilities & Pipelines,1997-11-27
IFP,TSX,Interfor Corporation,898499719,Industrial Products & Services,1972-05-29
ITP,TSX,Intertape Polymer Group Inc.,1087461607,Industrial Products & Services,1993-01-06
ITC,TSX,Intrinsyc Technologies Corporation,22423012,Technology,2001-01-09
JOSE,TSX,Josemaria Resources Inc.,189686391,Mining,1994-07-14
JE,TSX,Just Energy Group Inc.,457859079,Utilities & Pipelines,2001-04-27
KEG,TSX,Keg Royalties Income Fund (The),184494375,Consumer Products & Services,2002-05-30
KEY,TSX,Keyera Corp.,6898648140,Utilities & Pipelines,2003-05-29
KMP,TSX,Killam Apartment Real Estate Investment Trust,1879781248,Real Estate,2003-04-03
K,TSX,Kinross Gold Corporation,8291819421,Mining,1983-07-26
KL,TSX,Kirkland Lake Gold Ltd.,13607636313,Mining,1994-11-09
LIF,TSX,Labrador Iron Ore Royalty Corporation,1666560000,Mining,1995-11-28
LAS,TSX,Lassonde Industries Inc.,559234029,Consumer Products & Services,1999-12-06
LB,TSX,Laurentian Bank Of Canada,2046763125,Financial Services,1983-05-06
LNF,TSX,Leon's Furniture Limited,1294113611,Consumer Products & Services,1969-11-11
LNR,TSX,Linamar Corporation,2638398410,Industrial Products & Services,1986-01-29
L,TSX,Loblaw Companies Limited,26908839031,Consumer Products & Services,1956-03-13
LGT,TSX,Logistec Corporation,483044073,Industrial Products & Services,1969-09-24
MKZ,TSX,Mackenzie Master Limited Partnership,6264511,Closed-End Funds,1995-06-30
MPC,TSX,Madison Pacific Properties Inc.,182122940,Real Estate,1998-05-12
MAL,TSX,Magellan Aerospace Corporation,898746975,Industrial Products & Services,1946-09-23
